Stock,Price to Earnings,Earnings Per Share,Dept to Equity,Price to Book,Price to 52W Range
AAPL,27.897785,5.87,195.868,45.73024,51.980000000000004
ABCL,14.3404255,0.47,6.67,1.5678065,9.55
ABNB,41.48905,2.74,42.104,12.90059,81.33000000000001
ADBE,36.52515,9.94,29.044,11.730533,176.41999999999996
AMD,102.30953,0.84,5.399,2.5303264,54.99999999999999
APPS,24.408163,0.49,71.274,1.9580878,25.589999999999996
ASML,31.92348,19.08,40.596,1364.0863,335.44000000000005
AVGO,20.803173,29.62,169.009,11.023274,233.43
AZPN,62.645943,3.7,2.795,1.14189,114.65999999999997
BIDU,40.508648,2.89,38.416,0.1831256,87.3
BR,31.447193,4.45,244.134,9.2193165,51.98000000000002
CARR,9.914635,4.1,117.67,4.3719077,16.07
CDNS,68.78716,2.96,23.064,18.879,85.35
CHGG,13.789474,1.33,108.317,2.0772452,14.8
CRM,870.5455,0.22,25.496,3.2194188,73.78
CSCO,17.047619,2.73,24.008,4.5951815,13.96
DLO,40.939392,0.33,1.021,10.000001,24.597
DOX,20.114864,4.44,22.493,3.0361028,20.289999999999992
DXCM,152.35365,0.82,100.816,22.636347,58.6575
ET,8.914286,1.4,119.331,1.4315208,4.52
EXEL,32.94643,0.56,8.352,2.402031,8.26
EXPI,110.7,0.1,2.235,6.8291173,8.739999999999998
FLGT,6.539326,4.45,3.018,0.6762881,36.64
FUTU,16.625484,2.59,12.902,0.287765,45.36
GBDC,19.32353,0.68,122.705,0.89333063,3.42
GGG,25.92481,2.66,6.807,6.2187753,16.619999999999997
GLOB,42.801155,3.47,8.92,4.1643066,95.5
GNRC,17.29368,5.38,64.762,2.5313563,213.56
GOOGL,22.743422,4.56,11.703,5.202408,39.5145
GRMN,18.88889,5.04,2.251,2.940268,38.019999999999996
HAE,45.236263,1.82,98.957,5.352012,42.72
HLNE,27.875969,2.58,55.217,6.900787,25.42
IDXX,62.6875,7.68,241.49,65.55556,198.72999999999996
INTC,14.671717,1.98,41.121,1.1849403,22.680000000000003
INTU,60.482456,6.84,48.46,7.3293886,151.46999999999997
KIDS,815.8334,0.06,0.308,2.9575253,25.08
LOGI,21.817831,2.58,3.232,4.0032716,26.36
LPRO,13.196078,0.51,71.456,3.9105172,10.02
LRCX,13.843584,35.93,59.535,7.9687276,249.26000000000005
MCHP,20.02973,3.7,104.924,6.432043,33.43000000000001
MDRX,14.302325,0.86,18.59,1.1417433,9.350000000000001
MDT,30.917524,2.91,54.493,2.3267903,32.480000000000004
MEDP,27.8974,7.31,74.206,17.983244,114.53
MELI,134.01627,9.22,297.154,33.989765,737.07
MKTX,46.62763,6.66,7.647,10.81418,182.33999999999997
MRNA,6.5067196,20.09,6.275,2.63177,102.22
MSFT,32.387062,9.12,42.583,12.010817,86.13999999999999
MU,43.276596,1.41,27.391,1.4125981,26.979999999999997
NOW,282.0062,1.61,44.356,18.305447,184.58000000000004
NTES,19.742529,4.35,25.287,0.53124493,55.67999999999999
NVDA,155.81503,1.73,54.436,30.078108,172.97000000000003
NXPI,16.17906,10.22,147.842,5.759518,66.19999999999999
OLED,30.247726,4.4,2.57,4.9850173,66.5
OLLI,39.256096,1.64,32.39,2.9308932,31.869999999999997
ON,17.898008,4.02,56.588,5.0219865,42.79
PAYC,61.047012,4.68,5.92,13.45864,146.95999999999998
PCRX,137.71875,0.32,98.501,2.6115556,40.99999999999999
PYPL,34.15166,2.11,56.994,4.0376534,36.644999999999996
QCOM,10.934867,10.44,89.724,6.7911963,54.72999999999999
SEDG,166.8494,1.66,33.797,7.1437416,185.74999999999997
TSLA,45.22059,3.4,11.321,10.139146,216.69
TTD,545.4545,0.11,12.336,13.91143,37.75
TXN,17.4586,9.42,62.797,10.22189,41.84
ZM,180.67647,0.34,1.554,2.9080665,63.14
