Stock,Earnings Per Share,Debt to Equity,Price to Book,Price to 52W Range
AAPL,5.87,195.868,45.733036,51.980000000000004
ABCL,0.5,6.67,1.5654805,9.55
ABNB,2.74,42.104,12.767248,81.33000000000001
ADBE,10.16,29.044,11.941518,176.41999999999996
AMD,0.84,5.399,2.4673183,54.99999999999999
APPS,0.49,71.274,1.9629993,25.589999999999996
ASML,19.48,40.596,1356.6063,335.44000000000005
AVGO,29.62,169.009,11.12757,233.43
AZPN,3.7,2.795,1.1445504,114.65999999999997
BIDU,2.89,38.416,0.18292224,87.3
BR,4.45,244.134,9.301667,51.98000000000002
CARR,4.1,117.67,4.551516,16.07
CDNS,3.09,23.064,18.905888,85.35
CHGG,1.33,108.317,2.0455315,14.8
CRM,0.22,25.496,3.2051303,73.78
CSCO,2.73,24.008,4.6494865,13.96
DLO,0.35,1.021,10.000001,24.597
DOX,4.44,22.493,3.061939,20.289999999999992
DXCM,0.82,100.816,22.46059,58.6575
ET,1.41,119.331,1.4372561,4.52
EXEL,0.56,8.352,2.4541075,8.26
EXPI,0.1,2.235,6.896977,8.739999999999998
FLGT,4.62,3.018,0.67164004,36.64
FUTU,2.59,12.902,0.2868962,45.36
GBDC,0.67,122.705,0.89740974,3.42
GGG,2.66,6.807,6.3206778,16.619999999999997
GLOB,3.47,8.92,4.1015,95.5
GNRC,5.39,64.762,2.7778533,213.56
GOOGL,4.56,11.703,5.2094307,39.5145
GRMN,5.04,2.251,2.9674473,38.019999999999996
HAE,1.86,98.957,5.4046674,42.72
HLNE,2.58,55.217,7.01209,25.42
IDXX,8.03,241.49,65.79929,198.72999999999996
INTC,1.98,41.121,1.1780062,22.680000000000003
INTU,6.83,48.46,7.437991,151.46999999999997
KIDS,0.06,0.308,2.9889433,25.08
LOGI,2.58,3.232,3.9606001,26.36
LPRO,0.53,71.456,3.8466008,10.02
LRCX,36.15,59.535,8.005896,249.26000000000005
MCHP,3.68,104.924,6.4546084,33.43000000000001
MDRX,0.86,18.59,1.1779449,10.07
MDT,2.91,54.493,2.319549,33.650000000000006
MEDP,7.31,74.206,18.365961,114.53
MELI,9.49,297.154,33.822517,737.07
MKTX,6.8,7.647,10.995961,182.33999999999997
MRNA,20.09,6.275,2.715925,102.22
MSFT,9.12,42.583,11.199578,80.75
MU,1.4,27.391,1.3459269,26.979999999999997
NOW,1.61,44.356,17.831715,184.58000000000004
NTES,4.35,25.287,0.5230177,55.67999999999999
NVDA,1.74,54.436,29.280294,172.97000000000003
NXPI,10.55,147.842,5.7299104,66.19999999999999
OLED,4.52,2.57,5.0378304,66.5
OLLI,1.65,32.39,2.9140491,31.869999999999997
ON,4.25,56.588,4.9103093,42.79
PAYC,4.78,5.92,13.600432,146.95999999999998
PCRX,0.33,98.501,2.6293333,41.589999999999996
PYPL,2.11,56.994,4.0219646,36.644999999999996
QCOM,10.45,89.724,6.784652,54.72999999999999
SEDG,1.66,33.797,7.975291,185.74999999999997
TSLA,3.4,11.321,10.5954895,231.52334000000002
TTD,0.11,12.336,13.76536,37.75
TXN,9.42,62.797,10.528311,41.84
ZM,0.34,1.554,2.9847565,61.44
