Stock,Price to Earnings,Earnings Per Share,Dept to Equity,Price to Book
AAPL,27.89949,5.87,195.868,45.733036
ABCL,13.46,0.5,6.67,1.5654805
ABNB,41.06022,2.74,42.104,12.767248
ADBE,36.37697,10.16,29.044,11.941518
AMD,99.76191,0.84,5.399,2.4673183
APPS,24.469387,0.49,71.274,1.9629993
ASML,31.748428,19.08,40.596,1356.6063
AVGO,21.0,29.62,169.009,11.12757
AZPN,62.791893,3.7,2.795,1.1445504
BIDU,40.46367,2.89,38.416,0.18292224
BR,31.728092,4.45,244.134,9.301667
CARR,10.321951,4.1,117.67,4.551516
CDNS,65.98705,3.09,23.064,18.905888
CHGG,13.578946,1.33,108.317,2.0455315
CRM,866.6818,0.22,25.496,3.2051303
CSCO,17.249084,2.73,24.008,4.6494865
DLO,40.939392,0.33,1.021,10.000001
DOX,20.286036,4.44,22.493,3.061939
DXCM,151.17073,0.82,100.816,22.46059
ET,8.95,1.4,119.331,1.4372561
EXEL,33.660713,0.56,8.352,2.4541075
EXPI,111.8,0.1,2.235,6.896977
FLGT,6.255411,4.62,3.018,0.67164004
FUTU,16.57529,2.59,12.902,0.2868962
GBDC,19.411764,0.68,122.705,0.89740974
GGG,26.349623,2.66,6.807,6.3206778
GLOB,42.15562,3.47,8.92,4.1015
GNRC,18.977694,5.38,64.762,2.7778533
GOOGL,22.774122,4.56,11.703,5.2094307
GRMN,19.063492,5.04,2.251,2.9674473
HAE,45.681316,1.82,98.957,5.4046674
HLNE,28.325583,2.58,55.217,7.01209
IDXX,62.920574,7.68,241.49,65.79929
INTC,14.585858,1.98,41.121,1.1780062
INTU,61.37865,6.84,48.46,7.437991
KIDS,824.50006,0.06,0.308,2.9889433
LOGI,21.585272,2.58,3.232,3.9606001
LPRO,12.980392,0.51,71.456,3.8466008
LRCX,13.9081545,35.93,59.535,8.005896
MCHP,20.1,3.7,104.924,6.4546084
MDRX,14.755814,0.86,18.59,1.1779449
MDT,30.821306,2.91,54.493,2.319549
MEDP,28.491108,7.31,74.206,18.365961
MELI,133.35683,9.22,297.154,33.822517
MKTX,47.411415,6.66,7.647,10.995961
MRNA,6.714783,20.09,6.275,2.715925
MSFT,30.199564,9.12,42.583,11.199578
MU,41.234043,1.41,27.391,1.3459269
NOW,274.70807,1.61,44.356,17.831715
NTES,19.436783,4.35,25.287,0.5230177
NVDA,151.68208,1.73,54.436,29.280294
NXPI,16.09589,10.22,147.842,5.7299104
OLED,30.568182,4.4,2.57,5.0378304
OLLI,39.03049,1.64,32.39,2.9140491
ON,17.5,4.02,56.588,4.9103093
PAYC,61.69017,4.68,5.92,13.600432
PCRX,134.45454,0.33,98.501,2.6293333
PYPL,34.01896,2.11,56.994,4.0219646
QCOM,10.92433,10.44,89.724,6.784652
SEDG,186.27109,1.66,33.797,7.975291
TSLA,47.255882,3.4,11.321,10.5954895
TTD,539.7273,0.11,12.336,13.76536
TXN,17.981953,9.42,62.797,10.528311
ZM,185.44118,0.34,1.554,2.9847565
